Data;Ora_Offline;Ora_Online;Durata_Secondi
2026-02-02;11:19:28;11:20:10;42
2026-02-02;11:21:40;11:21:46;6
2026-02-02;11:24:02;11:26:20;138
2026-02-02;11:27:24;11:27:42;18
2026-02-02;11:32:43;11:34:48;125
2026-02-02;12:10:35;12:13:34;179
2026-02-02;12:24:09;12:24:31;22
2026-02-02;12:29:43;12:33:49;246
2026-02-02;12:51:49;12:54:50;181
2026-02-02;13:07:49;13:07:57;8
2026-02-02;13:11:37;13:16:32;295
2026-02-02;13:31:48;13:32:12;24
2026-02-02;13:38:02;13:46:04;482
2026-02-02;13:55:29;13:56:43;74
2026-02-02;14:11:27;14:15:49;262
2026-02-02;14:20:57;14:21:06;9
2026-02-02;14:21:58;14:25:39;221
2026-02-02;14:56:47;14:58:21;94
2026-02-02;15:01:00;15:04:17;197
2026-02-02;15:17:42;15:19:23;101
2026-02-02;15:30:07;15:33:12;185
2026-02-02;16:05:56;16:07:25;89
2026-02-02;16:09:25;16:13:38;253
2026-02-02;16:26:23;16:28:17;114
2026-02-02;16:38:17;16:43:21;304
2026-02-02;17:19:47;17:21:12;85
2026-02-02;17:21:25;17:21:37;12
2026-02-02;17:25:56;17:26:23;27
2026-02-02;17:27:16;17:28:05;49
2026-02-02;17:29:50;17:40:41;651
2026-02-02;17:46:22;17:48:28;126
2026-02-02;17:50:41;17:54:25;224
2026-02-02;18:08:58;18:11:27;149
2026-02-02;18:18:52;18:20:14;82
2026-02-02;18:47:14;18:50:54;220
2026-02-02;18:56:01;18:56:35;34
2026-02-02;18:59:53;19:05:46;353
2026-02-02;19:06:01;19:12:49;408
2026-02-02;19:21:40;19:22:43;63
2026-02-02;19:33:33;19:39:23;350
2026-02-02;19:39:50;19:44:18;268
2026-02-02;19:52:32;19:53:31;59
2026-02-02;20:07:07;20:10:43;216
2026-02-02;20:21:56;20:28:02;366
2026-02-02;20:49:48;20:55:21;333
2026-02-02;20:56:44;20:58:07;83
2026-02-02;20:58:24;21:12:03;819
2026-02-02;21:12:16;21:14:39;143
2026-02-02;21:19:30;21:21:13;103
2026-02-02;21:34:55;21:35:51;56
2026-02-02;21:43:41;21:44:37;56
2026-02-02;21:50:23;21:51:11;48
2026-02-02;22:48:18;22:49:13;55
2026-02-02;22:53:36;22:53:51;15
2026-02-02;23:15:54;23:16:53;59
2026-02-02;23:18:53;23:19:39;46
2026-02-02;23:26:22;23:26:59;37
2026-02-02;23:33:37;23:40:10;393
2026-02-02;23:40:43;23:43:22;159
2026-02-02;23:47:53;23:48:09;16
2026-02-03;00:41:19;00:44:54;215
2026-02-03;00:55:52;00:57:11;79
2026-02-03;01:02:18;01:02:24;6
2026-02-03;01:07:56;01:08:22;26
2026-02-03;01:15:32;01:16:49;77
2026-02-03;01:35:05;01:36:21;76
2026-02-03;01:45:04;01:45:57;53
2026-02-03;01:49:26;01:50:12;46
2026-02-03;02:12:31;02:15:55;204
2026-02-03;02:18:46;02:20:19;93
2026-02-03;02:22:35;02:23:23;48
2026-02-03;02:24:03;02:25:22;79
2026-02-03;02:30:42;02:33:13;151
2026-02-03;02:36:38;02:39:45;187
2026-02-03;02:43:54;02:49:18;324
2026-02-03;02:52:48;03:00:30;462
2026-02-03;03:37:31;03:38:19;48
2026-02-03;03:42:33;03:44:00;87
2026-02-03;03:50:44;03:50:59;15
2026-02-03;03:52:47;03:58:42;355
2026-02-03;04:34:26;04:36:06;100
2026-02-03;04:38:54;04:39:13;19
2026-02-03;04:39:33;04:41:39;126
2026-02-03;05:07:14;05:07:21;7
2026-02-03;05:14:47;05:21:11;384
2026-02-03;05:38:23;05:49:25;662
2026-02-03;05:52:02;05:54:04;122
2026-02-03;05:57:45;05:58:34;49
2026-02-03;05:59:31;06:00:31;60
2026-02-03;06:13:11;06:14:12;61
2026-02-03;06:14:35;06:21:04;389
2026-02-03;06:24:29;06:25:46;77
2026-02-03;06:26:40;06:30:33;233
2026-02-03;07:03:07;07:08:24;317
2026-02-03;07:23:06;07:25:37;151
2026-02-03;07:48:55;07:51:49;174
2026-02-03;08:13:19;08:15:20;121
2026-02-03;08:32:59;08:44:49;710
2026-02-03;08:58:10;09:04:25;375
2026-02-03;09:09:17;09:13:53;276
2026-02-03;09:15:24;09:16:48;84
2026-02-03;09:47:40;09:50:10;150
2026-02-03;09:52:10;09:52:37;27
2026-02-03;09:53:36;09:58:17;281
2026-02-03;10:01:02;10:01:19;17
2026-02-03;10:15:09;10:17:30;141
2026-02-03;10:42:07;10:43:01;54
2026-02-03;10:43:39;10:46:37;178
2026-02-03;10:46:46;10:47:35;49
2026-02-03;10:55:21;10:57:07;106
2026-02-03;11:10:10;11:10:33;23
2026-02-03;11:21:33;11:21:53;20
2026-02-03;11:22:09;11:22:24;15
2026-02-03;11:26:58;11:29:10;132
2026-02-03;11:36:57;11:37:43;46
2026-02-03;11:38:59;11:40:11;72
2026-02-03;11:46:05;11:48:48;163
2026-02-03;12:02:32;12:04:30;118
2026-02-03;12:32:13;12:33:40;87
2026-02-03;12:41:36;12:46:47;311
2026-02-03;12:48:59;12:50:01;62
2026-02-03;12:50:31;12:52:11;100
2026-02-03;12:57:35;12:59:39;124
2026-02-03;13:06:34;13:09:27;173
2026-02-03;13:16:13;13:17:03;50
2026-02-03;13:19:48;13:20:31;43
2026-02-03;13:27:14;13:31:46;272
2026-02-03;13:38:15;13:43:30;315
2026-02-03;13:54:40;13:54:52;12
2026-02-03;14:02:06;14:07:05;299
2026-02-03;14:09:44;14:11:49;125
2026-02-03;14:35:31;14:36:09;38
2026-02-03;14:39:26;14:41:41;135
2026-02-03;14:43:49;14:47:26;217
2026-02-03;14:48:54;14:52:58;244
2026-02-03;15:13:25;15:13:33;8
2026-02-03;15:33:15;15:34:18;63
2026-02-03;15:39:03;15:42:16;193
2026-02-03;16:03:51;16:08:22;271
2026-02-03;16:11:24;16:15:38;254
2026-02-03;16:21:44;16:22:38;54
2026-02-03;16:29:24;16:30:59;95
2026-02-03;16:48:25;16:50:14;109
2026-02-03;17:09:45;17:11:05;80
2026-02-03;17:13:42;17:13:58;16
2026-02-03;17:38:32;17:40:30;118
2026-02-03;17:49:05;17:53:21;256
2026-02-03;17:53:48;17:59:34;346
2026-02-03;18:09:33;18:12:24;171
2026-02-03;18:27:26;18:29:09;103
2026-02-03;19:00:15;19:01:54;99
2026-02-03;19:10:33;19:11:13;40
2026-02-03;19:29:51;19:32:05;134
2026-02-03;19:52:04;19:54:14;130
2026-02-03;19:59:30;20:01:55;145
2026-02-03;20:02:53;20:05:58;185
2026-02-03;20:11:49;20:14:57;188
2026-02-03;20:16:04;20:17:45;101
2026-02-03;20:46:29;20:47:14;45
2026-02-03;20:50:00;21:01:39;699
2026-02-03;21:56:56;22:01:41;285
2026-02-03;22:09:31;22:11:00;89
2026-02-03;22:29:39;22:35:39;360
2026-02-03;22:37:40;22:39:07;87
2026-02-03;23:03:38;23:04:11;33
2026-02-03;23:06:15;23:08:03;108
2026-02-03;23:16:09;23:23:01;412
2026-02-03;23:29:24;23:32:33;189
2026-02-03;23:39:01;23:39:16;15
2026-02-03;23:49:34;23:51:29;115
