prodotto_id,codice_barre,nome,descrizione,categoria,prezzo_netto,iva_percento,prezzo_lordo,attivo,updated_at
45,8389922452496,Prodotto Surgelati Classico 45,Prodotto Surgelati Classico 45 - descrizione commerciale,Surgelati,6.79,10,7.47,1,2026-01-03 09:25:01
46,8776747886973,Prodotto Alimentari Premium 46,Prodotto Alimentari Premium 46 - descrizione commerciale,Alimentari,1.58,10,1.74,1,2026-01-17 09:25:01
47,8238369274899,Prodotto Surgelati Formato Famiglia 47,Prodotto Surgelati Formato Famiglia 47 - descrizione commerciale,Surgelati,2.21,10,2.43,1,2026-01-01 09:25:01
48,8928549965123,Prodotto Bevande Integrale 48,Prodotto Bevande Integrale 48 - descrizione commerciale,Bevande,1.89,10,2.08,1,2026-01-24 09:25:01
49,8838998435036,Prodotto Panetteria Senza Zucchero 49,Prodotto Panetteria Senza Zucchero 49 - descrizione commerciale,Panetteria,1.06,10,1.17,1,2026-01-23 09:25:01
50,8802030399009,Prodotto Alimentari Formato Famiglia 50,Prodotto Alimentari Formato Famiglia 50 - descrizione commerciale,Alimentari,4.11,10,4.52,1,2026-01-30 09:25:01
51,8767894558807,Prodotto Panetteria Formato Famiglia 51,Prodotto Panetteria Formato Famiglia 51 - descrizione commerciale,Panetteria,2.06,10,2.27,0,2026-01-30 09:25:01
52,8766448420700,Prodotto Latticini Classico 52,Prodotto Latticini Classico 52 - descrizione commerciale,Latticini,2.98,10,3.28,1,2026-01-05 09:25:01
53,8153918201287,Prodotto Latticini Extra 53,Prodotto Latticini Extra 53 - descrizione commerciale,Latticini,3.91,10,4.3,1,2026-01-15 09:25:01
54,8100386902561,Prodotto Bevande Bio 54,Prodotto Bevande Bio 54 - descrizione commerciale,Bevande,1.86,10,2.05,1,2026-01-29 09:25:01
55,8620413181843,Prodotto Surgelati Classico 55,Prodotto Surgelati Classico 55 - descrizione commerciale,Surgelati,3.2,10,3.52,0,2026-01-05 09:25:01
56,8810264190852,Prodotto Surgelati Classico 56,Prodotto Surgelati Classico 56 - descrizione commerciale,Surgelati,1.92,10,2.11,1,2026-01-08 09:25:01
57,8183133541244,Prodotto Casa Senza Zucchero 57,Prodotto Casa Senza Zucchero 57 - descrizione commerciale,Casa,8.49,10,9.34,1,2026-01-22 09:25:01
58,8741218093454,Prodotto Igiene Premium 58,Prodotto Igiene Premium 58 - descrizione commerciale,Igiene,7.05,10,7.76,1,2026-01-02 09:25:01
59,8216649411792,Prodotto Casa Bio 59,Prodotto Casa Bio 59 - descrizione commerciale,Casa,6.66,10,7.33,1,2026-01-23 09:25:01
60,8615702515547,Prodotto Panetteria Bio 60,Prodotto Panetteria Bio 60 - descrizione commerciale,Panetteria,1.8,10,1.98,0,2026-01-26 09:25:01
61,8280070611038,Prodotto Bevande Bio 61,Prodotto Bevande Bio 61 - descrizione commerciale,Bevande,2.89,10,3.18,1,2026-01-31 09:25:01
62,8190989707243,Prodotto Surgelati Extra 62,Prodotto Surgelati Extra 62 - descrizione commerciale,Surgelati,4.69,10,5.16,1,2026-01-16 09:25:01
63,8938783276032,Prodotto Surgelati Bio 63,Prodotto Surgelati Bio 63 - descrizione commerciale,Surgelati,3.65,10,4.02,1,2026-01-08 09:25:01
64,8716144026274,Prodotto Latticini Premium 64,Prodotto Latticini Premium 64 - descrizione commerciale,Latticini,4.24,10,4.66,1,2026-01-22 09:25:01
65,8498800181524,Prodotto Latticini Extra 65,Prodotto Latticini Extra 65 - descrizione commerciale,Latticini,2.78,10,3.06,1,2026-01-11 09:25:01
66,8910681573192,Prodotto Casa Convenienza 66,Prodotto Casa Convenienza 66 - descrizione commerciale,Casa,9.93,10,10.92,1,2026-01-15 09:25:01
67,8488751305010,Prodotto Panetteria Convenienza 67,Prodotto Panetteria Convenienza 67 - descrizione commerciale,Panetteria,4.06,10,4.47,1,2026-01-14 09:25:01
68,8916234280121,Prodotto Bevande Formato Famiglia 68,Prodotto Bevande Formato Famiglia 68 - descrizione commerciale,Bevande,0.58,10,0.64,1,2026-01-13 09:25:01
69,8909083092414,Prodotto Bevande Integrale 69,Prodotto Bevande Integrale 69 - descrizione commerciale,Bevande,1.76,10,1.94,1,2026-01-31 09:25:01
70,8468537096170,Prodotto Bevande Senza Zucchero 70,Prodotto Bevande Senza Zucchero 70 - descrizione commerciale,Bevande,1.88,10,2.07,1,2026-01-24 09:25:01
71,8567180519047,Prodotto Surgelati Bio 71,Prodotto Surgelati Bio 71 - descrizione commerciale,Surgelati,5.71,10,6.28,1,2026-01-27 09:25:01
72,8924701275261,Prodotto Igiene Formato Famiglia 72,Prodotto Igiene Formato Famiglia 72 - descrizione commerciale,Igiene,8.68,10,9.55,1,2026-01-24 09:25:01
73,8349550051898,Prodotto Casa Premium 73,Prodotto Casa Premium 73 - descrizione commerciale,Casa,8.51,10,9.36,1,2026-01-26 09:25:01
74,8724797041255,Prodotto Igiene Bio 74,Prodotto Igiene Bio 74 - descrizione commerciale,Igiene,8.61,10,9.47,1,2026-01-15 09:25:01
75,8851761756196,Prodotto Igiene Convenienza 75,Prodotto Igiene Convenienza 75 - descrizione commerciale,Igiene,4.8,10,5.28,1,2026-01-05 09:25:01
76,8114479524133,Prodotto Alimentari Tradizionale 76,Prodotto Alimentari Tradizionale 76 - descrizione commerciale,Alimentari,0.97,10,1.07,1,2026-01-11 09:25:01
77,8987034376556,Prodotto Latticini Bio 77,Prodotto Latticini Bio 77 - descrizione commerciale,Latticini,1.28,10,1.41,1,2026-01-14 09:25:01
78,8925042279859,Prodotto Latticini Classico 78,Prodotto Latticini Classico 78 - descrizione commerciale,Latticini,3.47,10,3.82,1,2026-01-17 09:25:01
79,8217792576930,Prodotto Igiene Tradizionale 79,Prodotto Igiene Tradizionale 79 - descrizione commerciale,Igiene,2.79,10,3.07,1,2026-01-18 09:25:01
80,8829176188066,Prodotto Alimentari Extra 80,Prodotto Alimentari Extra 80 - descrizione commerciale,Alimentari,3.47,10,3.82,1,2026-01-20 09:25:01
81,8162995975444,Prodotto Surgelati Senza Zucchero 81,Prodotto Surgelati Senza Zucchero 81 - descrizione commerciale,Surgelati,3.95,10,4.35,1,2026-01-18 09:25:01
82,8259140343215,Prodotto Casa Integrale 82,Prodotto Casa Integrale 82 - descrizione commerciale,Casa,1.87,10,2.06,1,2026-01-22 09:25:01
83,8418624245109,Prodotto Latticini Formato Famiglia 83,Prodotto Latticini Formato Famiglia 83 - descrizione commerciale,Latticini,3.76,10,4.14,1,2026-01-22 09:25:01
84,8869539705907,Prodotto Casa Tradizionale 84,Prodotto Casa Tradizionale 84 - descrizione commerciale,Casa,9.96,10,10.96,1,2026-01-16 09:25:01
85,8473309516119,Prodotto Latticini Premium 85,Prodotto Latticini Premium 85 - descrizione commerciale,Latticini,1.22,10,1.34,1,2026-01-12 09:25:01
86,8238224524540,Prodotto Surgelati Convenienza 86,Prodotto Surgelati Convenienza 86 - descrizione commerciale,Surgelati,4.88,10,5.37,1,2026-01-10 09:25:01
87,8440482555711,Prodotto Panetteria Extra 87,Prodotto Panetteria Extra 87 - descrizione commerciale,Panetteria,2.29,10,2.52,1,2026-01-13 09:25:01
88,8577346783829,Prodotto Alimentari Tradizionale 88,Prodotto Alimentari Tradizionale 88 - descrizione commerciale,Alimentari,4.61,10,5.07,1,2026-01-22 09:25:01
89,8931173829702,Prodotto Casa Extra 89,Prodotto Casa Extra 89 - descrizione commerciale,Casa,1.31,10,1.44,1,2026-01-29 09:25:01
90,8131842300884,Prodotto Latticini Classico 90,Prodotto Latticini Classico 90 - descrizione commerciale,Latticini,4.44,10,4.88,1,2026-01-19 09:25:01
91,8665604131253,Prodotto Bevande Senza Zucchero 91,Prodotto Bevande Senza Zucchero 91 - descrizione commerciale,Bevande,1.74,10,1.91,1,2026-01-30 09:25:01
92,8483649460062,Prodotto Bevande Integrale 92,Prodotto Bevande Integrale 92 - descrizione commerciale,Bevande,1.47,10,1.62,1,2026-01-20 09:25:01
93,8893428789184,Prodotto Surgelati Convenienza 93,Prodotto Surgelati Convenienza 93 - descrizione commerciale,Surgelati,6.59,10,7.25,1,2026-01-05 09:25:01
94,8906659966581,Prodotto Panetteria Bio 94,Prodotto Panetteria Bio 94 - descrizione commerciale,Panetteria,2.86,10,3.15,1,2026-01-08 09:25:01
95,8536183825877,Prodotto Panetteria Bio 95,Prodotto Panetteria Bio 95 - descrizione commerciale,Panetteria,0.86,10,0.95,1,2026-01-08 09:25:01
96,8545363413958,Prodotto Alimentari Bio 96,Prodotto Alimentari Bio 96 - descrizione commerciale,Alimentari,5.34,10,5.87,1,2026-01-20 09:25:01
97,8642751920173,Prodotto Surgelati Integrale 97,Prodotto Surgelati Integrale 97 - descrizione commerciale,Surgelati,1.8,10,1.98,1,2026-01-26 09:25:01
98,8621519551550,Prodotto Bevande Classico 98,Prodotto Bevande Classico 98 - descrizione commerciale,Bevande,2.99,10,3.29,1,2026-01-20 09:25:01
99,8814778096377,Prodotto Casa Extra 99,Prodotto Casa Extra 99 - descrizione commerciale,Casa,7.19,10,7.91,1,2026-01-27 09:25:01
100,8505261773778,Prodotto Bevande Premium 100,Prodotto Bevande Premium 100 - descrizione commerciale,Bevande,2.56,10,2.82,1,2026-01-30 09:25:01
101,8895450886043,Prodotto Panetteria Classico 101,Prodotto Panetteria Classico 101 - descrizione commerciale,Panetteria,1.25,10,1.38,1,2026-01-02 09:25:01
102,8293164649590,Prodotto Bevande Premium 102,Prodotto Bevande Premium 102 - descrizione commerciale,Bevande,1.01,10,1.11,1,2026-01-25 09:25:01
103,8134091491064,Prodotto Latticini Tradizionale 103,Prodotto Latticini Tradizionale 103 - descrizione commerciale,Latticini,4.15,10,4.57,1,2026-01-20 09:25:01
104,8473277202255,Prodotto Bevande Senza Zucchero 104,Prodotto Bevande Senza Zucchero 104 - descrizione commerciale,Bevande,2.68,10,2.95,1,2026-01-07 09:25:01
105,8485714125502,Prodotto Latticini Premium 105,Prodotto Latticini Premium 105 - descrizione commerciale,Latticini,1.06,10,1.17,1,2026-01-18 09:25:01
106,8741017835350,Prodotto Surgelati Classico 106,Prodotto Surgelati Classico 106 - descrizione commerciale,Surgelati,4.81,10,5.29,1,2026-01-23 09:25:01
107,8506232441151,Prodotto Casa Formato Famiglia 107,Prodotto Casa Formato Famiglia 107 - descrizione commerciale,Casa,9.51,10,10.46,1,2026-01-29 09:25:01
108,8512372773158,Prodotto Alimentari Tradizionale 108,Prodotto Alimentari Tradizionale 108 - descrizione commerciale,Alimentari,3.92,10,4.31,1,2026-01-07 09:25:01
109,8663208847447,Prodotto Igiene Formato Famiglia 109,Prodotto Igiene Formato Famiglia 109 - descrizione commerciale,Igiene,2.44,10,2.68,1,2026-01-21 09:25:01
110,8448142641460,Prodotto Alimentari Formato Famiglia 110,Prodotto Alimentari Formato Famiglia 110 - descrizione commerciale,Alimentari,2.2,10,2.42,1,2026-01-23 09:25:01
111,8899654742412,Prodotto Surgelati Senza Zucchero 111,Prodotto Surgelati Senza Zucchero 111 - descrizione commerciale,Surgelati,2.82,10,3.1,1,2026-01-19 09:25:01
112,8517617665755,Prodotto Bevande Senza Zucchero 112,Prodotto Bevande Senza Zucchero 112 - descrizione commerciale,Bevande,1.2,10,1.32,1,2026-01-10 09:25:01
113,8718470319172,Prodotto Latticini Tradizionale 113,Prodotto Latticini Tradizionale 113 - descrizione commerciale,Latticini,0.98,10,1.08,1,2026-01-02 09:25:01
114,8168897311353,Prodotto Surgelati Convenienza 114,Prodotto Surgelati Convenienza 114 - descrizione commerciale,Surgelati,6.86,10,7.55,1,2026-01-04 09:25:01
115,8494281915896,Prodotto Latticini Formato Famiglia 115,Prodotto Latticini Formato Famiglia 115 - descrizione commerciale,Latticini,4.59,10,5.05,1,2026-01-04 09:25:01
116,8402634691803,Prodotto Igiene Senza Zucchero 116,Prodotto Igiene Senza Zucchero 116 - descrizione commerciale,Igiene,6.88,10,7.57,1,2026-01-13 09:25:01
117,8386300023293,Prodotto Igiene Formato Famiglia 117,Prodotto Igiene Formato Famiglia 117 - descrizione commerciale,Igiene,2.07,10,2.28,1,2026-01-15 09:25:01
118,8794738875657,Prodotto Latticini Premium 118,Prodotto Latticini Premium 118 - descrizione commerciale,Latticini,1.19,10,1.31,1,2026-01-16 09:25:01
119,8548273587025,Prodotto Igiene Senza Zucchero 119,Prodotto Igiene Senza Zucchero 119 - descrizione commerciale,Igiene,7.86,10,8.65,1,2026-01-09 09:25:01
120,8712716189098,Prodotto Casa Classico 120,Prodotto Casa Classico 120 - descrizione commerciale,Casa,4.89,10,5.38,1,2026-01-25 09:25:01
121,8466621439165,Prodotto Panetteria Extra 121,Prodotto Panetteria Extra 121 - descrizione commerciale,Panetteria,2.87,10,3.16,1,2026-01-11 09:25:01
122,8139987059758,Prodotto Casa Tradizionale 122,Prodotto Casa Tradizionale 122 - descrizione commerciale,Casa,8.32,10,9.15,1,2026-01-10 09:25:01
123,8851839121592,Prodotto Bevande Formato Famiglia 123,Prodotto Bevande Formato Famiglia 123 - descrizione commerciale,Bevande,1.64,10,1.8,1,2026-01-21 09:25:01
124,8868244709755,Prodotto Latticini Premium 124,Prodotto Latticini Premium 124 - descrizione commerciale,Latticini,1.02,10,1.12,1,2026-01-25 09:25:01
125,8471362187246,Prodotto Panetteria Bio 125,Prodotto Panetteria Bio 125 - descrizione commerciale,Panetteria,3.61,10,3.97,1,2026-01-11 09:25:01
126,8368202115725,Prodotto Latticini Classico 126,Prodotto Latticini Classico 126 - descrizione commerciale,Latticini,2.34,10,2.57,1,2026-01-27 09:25:01
127,8150611751934,Prodotto Alimentari Formato Famiglia 127,Prodotto Alimentari Formato Famiglia 127 - descrizione commerciale,Alimentari,3.47,10,3.82,1,2026-01-23 09:25:01
128,8767901200837,Prodotto Surgelati Integrale 128,Prodotto Surgelati Integrale 128 - descrizione commerciale,Surgelati,6.87,10,7.56,1,2026-01-30 09:25:01
129,8118622658959,Prodotto Casa Extra 129,Prodotto Casa Extra 129 - descrizione commerciale,Casa,4.55,10,5.0,1,2026-01-21 09:25:01
130,8933175889141,Prodotto Bevande Bio 130,Prodotto Bevande Bio 130 - descrizione commerciale,Bevande,2.7,10,2.97,1,2026-01-01 09:25:01
131,8606186974178,Prodotto Igiene Formato Famiglia 131,Prodotto Igiene Formato Famiglia 131 - descrizione commerciale,Igiene,4.85,10,5.33,1,2026-01-15 09:25:01
132,8553521890529,Prodotto Igiene Tradizionale 132,Prodotto Igiene Tradizionale 132 - descrizione commerciale,Igiene,4.15,10,4.57,1,2026-01-11 09:25:01
133,8240130010941,Prodotto Panetteria Tradizionale 133,Prodotto Panetteria Tradizionale 133 - descrizione commerciale,Panetteria,2.06,10,2.27,1,2026-01-20 09:25:01
134,8847617597510,Prodotto Bevande Bio 134,Prodotto Bevande Bio 134 - descrizione commerciale,Bevande,2.13,10,2.34,1,2026-01-31 09:25:01
135,8491551269442,Prodotto Alimentari Tradizionale 135,Prodotto Alimentari Tradizionale 135 - descrizione commerciale,Alimentari,5.05,10,5.56,1,2026-01-19 09:25:01
136,8944217045304,Prodotto Igiene Convenienza 136,Prodotto Igiene Convenienza 136 - descrizione commerciale,Igiene,7.59,10,8.35,1,2026-01-25 09:25:01
137,8916950120634,Prodotto Surgelati Premium 137,Prodotto Surgelati Premium 137 - descrizione commerciale,Surgelati,5.97,10,6.57,1,2026-01-25 09:25:01
138,8484559539295,Prodotto Panetteria Extra 138,Prodotto Panetteria Extra 138 - descrizione commerciale,Panetteria,1.48,10,1.63,1,2026-01-12 09:25:01
139,8631903749966,Prodotto Casa Senza Zucchero 139,Prodotto Casa Senza Zucchero 139 - descrizione commerciale,Casa,10.56,10,11.62,1,2026-01-21 09:25:01
140,8166282491841,Prodotto Panetteria Senza Zucchero 140,Prodotto Panetteria Senza Zucchero 140 - descrizione commerciale,Panetteria,2.0,10,2.2,1,2026-01-27 09:25:01
141,8904142039569,Prodotto Casa Formato Famiglia 141,Prodotto Casa Formato Famiglia 141 - descrizione commerciale,Casa,9.72,10,10.69,1,2026-01-03 09:25:01
142,8136114293904,Prodotto Latticini Senza Zucchero 142,Prodotto Latticini Senza Zucchero 142 - descrizione commerciale,Latticini,1.11,10,1.22,1,2026-01-04 09:25:01
143,8400413692575,Prodotto Igiene Convenienza 143,Prodotto Igiene Convenienza 143 - descrizione commerciale,Igiene,3.28,10,3.61,1,2026-01-25 09:25:01
144,8240021594383,Prodotto Bevande Bio 144,Prodotto Bevande Bio 144 - descrizione commerciale,Bevande,2.01,10,2.21,1,2026-01-31 09:25:01
145,8775490666256,Prodotto Igiene Premium 145,Prodotto Igiene Premium 145 - descrizione commerciale,Igiene,2.45,10,2.7,1,2026-01-07 09:25:01
146,8601532614572,Prodotto Igiene Formato Famiglia 146,Prodotto Igiene Formato Famiglia 146 - descrizione commerciale,Igiene,8.66,10,9.53,1,2026-01-21 09:25:01
147,8461925023618,Prodotto Panetteria Classico 147,Prodotto Panetteria Classico 147 - descrizione commerciale,Panetteria,3.9,10,4.29,1,2026-01-17 09:25:01
148,8933235165143,Prodotto Casa Convenienza 148,Prodotto Casa Convenienza 148 - descrizione commerciale,Casa,4.78,10,5.26,1,2026-01-09 09:25:01
149,8217408094391,Prodotto Igiene Premium 149,Prodotto Igiene Premium 149 - descrizione commerciale,Igiene,7.05,10,7.76,1,2026-01-27 09:25:01
150,8486316533162,Prodotto Latticini Tradizionale 150,Prodotto Latticini Tradizionale 150 - descrizione commerciale,Latticini,4.57,10,5.03,1,2026-01-10 09:25:01
151,8882813050511,Prodotto Surgelati Bio 151,Prodotto Surgelati Bio 151 - descrizione commerciale,Surgelati,7.24,10,7.96,0,2026-01-28 09:25:01
152,8651472752740,Prodotto Panetteria Bio 152,Prodotto Panetteria Bio 152 - descrizione commerciale,Panetteria,1.0,10,1.1,1,2026-01-09 09:25:01
153,8934868760759,Prodotto Bevande Tradizionale 153,Prodotto Bevande Tradizionale 153 - descrizione commerciale,Bevande,2.02,10,2.22,1,2026-01-11 09:25:01
154,8609852183498,Prodotto Latticini Extra 154,Prodotto Latticini Extra 154 - descrizione commerciale,Latticini,2.2,10,2.42,1,2026-01-23 09:25:01
155,8135647621617,Prodotto Alimentari Bio 155,Prodotto Alimentari Bio 155 - descrizione commerciale,Alimentari,4.95,10,5.45,0,2026-01-05 09:25:01
156,8984987719283,Prodotto Surgelati Formato Famiglia 156,Prodotto Surgelati Formato Famiglia 156 - descrizione commerciale,Surgelati,6.22,10,6.84,1,2026-01-20 09:25:01
157,8706620640592,Prodotto Surgelati Classico 157,Prodotto Surgelati Classico 157 - descrizione commerciale,Surgelati,2.62,10,2.88,1,2026-01-19 09:25:01
158,8654827306668,Prodotto Panetteria Formato Famiglia 158,Prodotto Panetteria Formato Famiglia 158 - descrizione commerciale,Panetteria,3.43,10,3.77,1,2026-01-11 09:25:01
159,8218290797883,Prodotto Casa Extra 159,Prodotto Casa Extra 159 - descrizione commerciale,Casa,1.46,10,1.61,1,2026-01-30 09:25:01
160,8217894704027,Prodotto Surgelati Senza Zucchero 160,Prodotto Surgelati Senza Zucchero 160 - descrizione commerciale,Surgelati,4.9,10,5.39,1,2026-01-19 09:25:01
161,8674075533464,Prodotto Casa Formato Famiglia 161,Prodotto Casa Formato Famiglia 161 - descrizione commerciale,Casa,10.53,10,11.58,1,2026-01-14 09:25:01
162,8987991250299,Prodotto Latticini Tradizionale 162,Prodotto Latticini Tradizionale 162 - descrizione commerciale,Latticini,4.73,10,5.2,1,2026-01-25 09:25:01
163,8137131607682,Prodotto Igiene Tradizionale 163,Prodotto Igiene Tradizionale 163 - descrizione commerciale,Igiene,4.8,10,5.28,0,2026-01-24 09:25:01
164,8329451007846,Prodotto Bevande Extra 164,Prodotto Bevande Extra 164 - descrizione commerciale,Bevande,2.29,10,2.52,1,2026-01-06 09:25:01
165,8171754909062,Prodotto Surgelati Bio 165,Prodotto Surgelati Bio 165 - descrizione commerciale,Surgelati,6.57,10,7.23,1,2026-01-12 09:25:01
166,8536177260236,Prodotto Casa Classico 166,Prodotto Casa Classico 166 - descrizione commerciale,Casa,8.5,10,9.35,1,2026-01-06 09:25:01
167,8142045138678,Prodotto Alimentari Formato Famiglia 167,Prodotto Alimentari Formato Famiglia 167 - descrizione commerciale,Alimentari,1.39,10,1.53,1,2026-01-28 09:25:01
